premise	hypothesis	label
A man, woman, and child enjoying themselves on a beach.	a child with mom and dad, on a vacation at the beach ;	1
A man, woman, and child enjoying themselves on a beach.	a family of three remained at the castle.	0
A man, woman, and child enjoying themselves on a beach.	nicole family of three is at the mall shopping.	2
People waiting to get on a train or just getting off.	the passengers waiting on the train are sitting.	1
People waiting to get on a train or just getting off.	there are people just getting on a.	0
People waiting to get on a train or just getting off.	there are skeletons waiting on a car.	0
A couple playing with a little boy on the beach.	a couple were playing with a young child outside.	0
A couple playing with a little boy on the beach.	a couple are playing frisbee with a small child at a beach.	1
A couple playing with a little boy on the beach.	a couple. a little girl singing by herself on the beach.	2
A couple play in the tide with their young son.	the family is sitting down for the.	2
A couple play in the tide with their young son.	the family is simeon.	0
A couple play in the tide with their young son.	the family is on vacation.	1
A man and a woman cross the street in front of a pizza and gyro restaurant.	the people are all still on the curb.	2
A man and a woman cross the street in front of a pizza and gyro restaurant.	near a couple of restaurants, two people stood across the street.	0
A man and a woman cross the street in front of a pizza and gyro restaurant.	the couple are walking across the street together.	1
A woman in a green jacket and hood over her head looking towards a valley.	this woman is nake.	2
A woman in a green jacket and hood over her head looking towards a valley.	the woman is asleep.	1
A woman in a green jacket and hood over her head looking towards a valley.	this woman is wearing perfume.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the man holding the sign is caucasian.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	people are protesting outside the capital.	2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	a skeletons in white.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	a man is angry for a woman.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the woman is wearing black.	2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	a man and a woman walk down a crowded city street.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the bien is wearing white.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	they are falling for john's murder.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	olympic 72.	2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	a man and a soman are eating together at john's pizza and gyro.	2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	words are marked with a sign.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the woman is ready for a discussion.	1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the man is sitting down while he has a sign for pete's pizza and gyro in his arms.	2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	the woman and kate the outdoors.	0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.	a man ordering pizza.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	the people are loaded.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults run across the street to get away from a red coated person chasing them.	2
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	the adults are both male and female.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two people walk away after a tasty steak lunch.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults swimming in.	2
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults, in a street.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two people ride bicycles into the tunnel.	2
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	three people walk away from a restaurant across the street.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults walking across a road near the convicted prisoner dressed in red	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two friends cross a street.	1
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	when people board a train.	2
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults walk across the room.	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two brothers walking across the road	0
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	there are no sunglasses in the picture.	2
Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.	two adults walk across the street to get away from a red shirted person who is chasing them.	1
A woman wearing all white and eating, walks next to a man holding a briefcase.	a married couple is sleeping.	2
A woman wearing all white and eating, walks next to a man holding a briefcase.	a bench is next to a shop.	0
A woman wearing all white and eating, walks next to a man holding a briefcase.	a married couple was walking next to each other.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	he has food.	2
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a woman eats a banana and walks across the street, and there is a woman trailing behind her.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the woman and he are playing cards together.	2
A woman is walking across the street eating a banana, while a man is following with his briefcase.	two coworkers cross paths on a street	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a woman eats ice cream walking down the sidewalk, and there is this woman in front of me with a purse.	2
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the mans briefcase is for her.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a little eating.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a person that is hungry.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	an actress and her favorite celebrity talk a walk in the city.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a diner eating a banana crosses a street	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the woman is a seduct.	1
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the woman sits for lunch	2
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the restaurant is having coffee at the cafe	2
A woman is walking across the street eating a banana, while a man is following with his briefcase.	the renegade is eating a buck.	0
A woman is walking across the street eating a banana, while a man is following with his briefcase.	a woman is outside	0
A skier slides along a metal rail.	a skier is near the rail halfway down.	1
A skier slides along a metal rail.	a skier is near the rail.	0
A skier slides along a metal rail.	afle is away from the rail.	2
A person on skis on a rail at night.	the book eats a car	2
A person on skis on a rail at night.	the green skiis	0
A person on skis on a rail at night.	they make fantastic skiiers	1
A skier in electric green on the edge of a ramp made of metal bars.	the skier was on the edge of the ramp.	1
A skier in electric green on the edge of a ramp made of metal bars.	the brightly dressed skier sped down the race course.	0
A skier in electric green on the edge of a ramp made of metal bars.	the jogger ran through the night.	2
A yellow uniformed skier is performing a trick across a railed object.	a skateboarder is riding a fork lift.	2
A yellow uniformed skier is performing a trick across a railed object.	a country is competing in a competition.	1
A yellow uniformed skier is performing a trick across a railed object.	somebody is book. winter sports.	0
A blond man is drinking from a public fountain.	the man is drinking heavily.	0
A blond man is drinking from a public fountain.	the man was very thirsty.	1
A blond man is drinking from a public fountain.	the man was drinking coffee.	2
Wet brown dog swims towards camera.	the dog is sleeping in his bed.	2
Wet brown dog swims towards camera.	a dog is playing robyn in a pond.	1
Wet brown dog swims towards camera.	afle is in the water.	0
Closeup image of a dog swimming.	the cat reluctantly takes a breath.	2
Closeup image of a dog swimming.	an underwaterfle takes a photo of a puppy.	1
Closeup image of a dog swimming.	a dog swims in a body of water.	0
The furry brown dog is swimming in the ocean.	a dog is chasing a rabbit.	1
The furry brown dog is swimming in the ocean.	a dog is chief.	0
The furry brown dog is swimming in the ocean.	a dog is running around the yard.	2
A big brown dog swims towards the camera.	a dog is essentially a stick.	2
A big brown dog swims towards the camera.	a photographer is the photograph of a dog.	1
A big brown dog swims towards the camera.	a dog followss towards the camera.	0
A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.	the farmer wearing a gray hat is driving a horse - drawn cart.	1
A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.	the man with the gray hat and pitchfork is directing the molly.	0
A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.	the woman in a blue dress is hitching a horse to a cart.	2
A man is leading a Clydesdale up a hay road, within a Old Country.	a man is walking with his women up a dirt road.	0
A man is leading a Clydesdale up a hay road, within a Old Country.	a woman in a gray business building is drinking tea.	2
A man is leading a Clydesdale up a hay road, within a Old Country.	a man in a straw hat and overalls is walking with a horse along a country road.	1
A farmer fertilizing his garden with manure with a horse and wagon.	the man was fertilizering his garden.	0
A farmer fertilizing his garden with manure with a horse and wagon.	the man is on the city street with his horse and cane.	2
A farmer fertilizing his garden with manure with a horse and wagon.	the man is in an open field with follows horse and wagon.	1
A white horse is pulling a cart while a man stands and watches.	a horse is hauling goods.	1
A white horse is pulling a cart while a man stands and watches.	an animal was walking outside.	0
A white horse is pulling a cart while a man stands and watches.	a policeman is watching a horse race.	2
A small group of church-goers watch a choir practice.	a policeman watches a practice.	0
A small group of church-goers watch a choir practice.	a choir performs in front of packed crowds.	-1
A small group of church-goers watch a choir practice.	the pastor and elders watch the choir to make sure they are good.	1
A dog drops a red disc on a beach.	a dog catch the ball on a.	2
A dog drops a red disc on a beach.	a dog who a disc with a boy	1
A dog drops a red disc on a beach.	a dog drops a ring disc	0
A man and a woman are walking on a street at the top of a hill.	a married couple walks down a hill.	1
A man and a woman are walking on a street at the top of a hill.	a man filipino woman walk in a street.	0
A man and a woman are walking on a street at the top of a hill.	two men play football on a hill.	2
An elderly man is drinking orange juice at a cafe.	an elderly man is drinking apple juice at a bar.	2
An elderly man is drinking orange juice at a cafe.	an older gentleman is enjoying an orange wine at a new cafe.	1
An elderly man is drinking orange juice at a cafe.	an old man is enjoying a beverage at a cafe.	0
A couple holding hands walks down a street.	three men hold hands while walking down the street.	1
A couple holding hands walks down a street.	there are parents sitting on the side of the road.	2
A couple holding hands walks down a street.	people are holding hands and walking.	0
A couple walk through a white brick town.	people were walking outdoors.	0
A couple walk through a white brick town.	a man and woman residing in a brown brick city.	2
A couple walk through a white brick town.	a man and woman walk through a big look.	1
Children going home from school.	the children are at the library.	2
Children going home from school.	the school children head northwards.	0
Children going home from school.	the children are carried in the afternooon.	1
People listening to a choir in a Catholic church.	people were listening to a metal band.	2
People listening to a choir in a Catholic church.	choir singing in mass.	0
People listening to a choir in a Catholic church.	people are in there for a first communion	1
Bicyclists waiting at an intersection.	a bicyclist is sitting down having lunch at the mall.	2
Bicyclists waiting at an intersection.	professional bicyclists are popular.	0
Bicyclists waiting at an intersection.	bicyclists waiting for a contraction to pass.	1
Bicyclists waiting at an intersection.	a person on a bike and waiting while the light is green.	1
Bicyclists waiting at an intersection.	the bicycles are on a road.	0
Bicyclists waiting at an intersection.	a person on a bike sitting near a street.	0
Bicyclists waiting at an intersection.	bikers stop and wait for traffic in the intersection.	0
Bicyclists waiting at an intersection.	the bicyclists ride through cary mall on their bikes.	2
Bicyclists waiting at an intersection.	bicyclists take their turn to cross.	0
Bicyclists waiting at an intersection.	bicyclists riding along the freeway ;	2
Bicyclists waiting at an intersection.	the bicyclists were dead.	2
Bicyclists waiting at an intersection.	the motorcyclists are headed to the third store.	1
Bicyclists waiting at an intersection.	the bicyclists are of a race.	1
Bicyclists waiting at an intersection.	the bicyclists are at home.	2
Bicyclists waiting at an intersection.	a group of bicyclists stood on the sidewalk at the intersection.	1
People waiting at a light on bikes.	a bunch of friends are on a boat	2
People waiting at a light on bikes.	experience with bikes.	0
People waiting at a light on bikes.	there are people on bikes at a light	1
People waiting at a light on bikes.	the people are just waiting.	2
People waiting at a light on bikes.	there are two people outside.	0
People waiting at a light on bikes.	people are on their bikes.	0
People waiting at a light on bikes.	the people are riding their bikes to the gym.	1
People waiting at a light on bikes.	people biking through the city ;	1
People waiting at a light on bikes.	the people were on bikes.	0
People waiting at a light on bikes.	there was lies next to the bikes.	1
People waiting at a light on bikes.	the people are running a red light.	2
People waiting at a light on bikes.	people in a car race ;	2
People waiting at a light on bikes.	men and women outside on a street corner.	0
People waiting at a light on bikes.	a ladybug has walked on a beautiful pink rose.	2
People waiting at a light on bikes.	men and women rode their motorcycles, protective helmets and protective jackets.	1
People on bicycles waiting at an intersection.	the people are on skateboards.	2
People on bicycles waiting at an intersection.	people are riding toy bicycles.	0
People on bicycles waiting at an intersection.	there is a bike ride happening right now.	1
People on bicycles waiting at an intersection.	people on bicycles at a car waiting for traffic.	1
People on bicycles waiting at an intersection.	the people are trying to get to a convenience store across the street.	1
People on bicycles waiting at an intersection.	people wait in traffic.	0
People on bicycles waiting at an intersection.	some people on bikes had stopped at a junction.	1
People on bicycles waiting at an intersection.	people were waiting on foot.	2
People on bicycles waiting at an intersection.	most are bicyclists stopped at a road.	0
People on bicycles waiting at an intersection.	the people were sleeping.	2
People on bicycles waiting at an intersection.	many people were waiting for the movie to begin.	2
People on bicycles waiting at an intersection.	more than one person on a bicycle is obeying the laws.	0
People on bicycles waiting at an intersection.	people are on their bikes.	1
People on bicycles waiting at an intersection.	there are classes on bicycles.	0
People on bicycles waiting at an intersection.	people on motorcycles speed through the intersection.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the kitchen is empty.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a man is giving another man a piggyback ride.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a cart is full of items.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a man is sleeping under a bench.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	one man watches another man.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the produce vendor is watched by a health department worker.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	she is on top of a cart full of items, while everyone else observes.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the man is watching the woman.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a merchant and his assistant are trying to determine how many products are in the cart.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the cart is full of books.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a man is standing on top of a cart.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the cart was filled to the top.	0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	the silence echoed outside.	1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a crocodile eats octopus.	2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	a man is standing on a cart full of groceries.	1
A boy is drinking out of a water fountain shaped like a woman.	a male is getting a bunch of it.	0
A boy is drinking out of a water fountain shaped like a woman.	a sculptor takes a drink from a fountain that is made that looks like his girlfriend.	1
A boy is drinking out of a water fountain shaped like a woman.	green man is sipping lemonade from a glass.	2
three bikers stop in town.	first stop in town	1
three bikers stop in town.	bikers denounced in towns	0
three bikers stop in town.	the town has witnessed the arrival of three bikers.	0
three bikers stop in town.	thoes bikers are slowing.	1
three bikers stop in town.	the bikers are the harley's.	1
three bikers stop in town.	three bikerss going 100 mph	2
three bikers stop in town.	the bikers breathe.	2
three bikers stop in town.	bikers asked for gas	0
three bikers stop in town.	three bibleclists are riding in a pack.	1
three bikers stop in town.	he is a very angry dog.	2
three bikers stop in town.	three hundred people are taking a rest in the town.	1
three bikers stop in town.	no bikers are in the town.	0
three bikers stop in town.	a bunch hundred bikers are in the street.	0
three bikers stop in town.	the amazons didn't stop by the town.	2
three bikers stop in town.	five bikers are murdered on the curb.	2
Two people loading brush on a trailer attached to a truck.	a man is carrying a canoe to the water.	2
Two people loading brush on a trailer attached to a truck.	a bunch of people are loading brush onto a trailer that is attached to another truck.	0
Two people loading brush on a trailer attached to a truck.	two people can brush on a trailer attached to a truck so they can go inside and burn it.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man pulls a.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man is pulling a rope at work.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man hanging on a rope.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	the hand were on the job trying to move some equipment.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	the man pulls his beard	2
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man is pulling a cart with his boots.	2
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man competes in a beauty magic contest	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man is trying to pull his head out of a lake	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	the man was clean shaven.	2
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a bearded man was pulling on a rope.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man was dragging a sled behind him.	1
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man in a wetsuit, dangling on a rope.	2
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man is wearing a black shirt	2
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	a man is pulling on a belt.	0
A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.	the man is able to grow a beard.	0
A man with facial hair and a red and gray shirt tugging on a piece of rope.	a man is naked on the bed.	2
A man with facial hair and a red and gray shirt tugging on a piece of rope.	a man is wearing a red and black shirt.	1
A man with facial hair and a red and gray shirt tugging on a piece of rope.	the man has facial hair.	0
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.	a middle aged oriental woman is watchingt.	2
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.	a middle aged fair woman in a green headscarf and blue shirt is not a giant.	0
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.	the middle aged late woman is not happy	1
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.	an asian woman was happy because she found money on the ground.	1
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.	an old lady is smiling at while another lady is rowing.	0
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.	an asian woman was running from a dog.	2
A boat worker securing line.	a worker is holding something to a boat.	0
A boat worker securing line.	a boat worker is swimming in the ocean.	2
A boat worker securing line.	the boat worker works hard to establish her line.	1
A small girl with a necklace is swimming.	a small girl with a father is swimming in a pool	1
A small girl with a necklace is swimming.	a fat girl is diving over the edge	2
A small girl with a necklace is swimming.	a small girl with a figure is in the water	0
a skateboarder skates in the pool.	a boy swims in the pool.	2
a skateboarder skates in the pool.	a skater is in the pool.	0
a skateboarder skates in the pool.	a skater grinds on the side of the pool.	1
"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children."""	a child is wrapped in a unicef blanket.	2
"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children."""	a couple carrying a child are walking along water.	0
"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children."""	an indian couple is seeking refuge with a humanitarian aid.	1
There is a woman holding a baby, along with a man with a save the children bag.	a group of people are possing for an add.	0
There is a woman holding a baby, along with a man with a save the children bag.	a man and a woman are hoding their son.	1
There is a woman holding a baby, along with a man with a save the children bag.	a man is watching an airplane.	2
A family with a baby, the father is wearing a save the children sign.	three adults were pictured.	2
A family with a baby, the father is wearing a save the children sign.	a girl is wearing something with writing on it.	0
A family with a baby, the father is wearing a save the children sign.	the woman is holding a baby.	1
A foreign family is walking along a dirt path next to the water.	they are riding a.	2
A foreign family is walking along a dirt path next to the water.	people were walking next to a lake.	1
A foreign family is walking along a dirt path next to the water.	a foreigner group of cousins hike along a trail next to a stream.	1
A foreign family is walking along a dirt path next to the water.	a foreign family walks by a dirt trail along a body of water.	0
A foreign family is walking along a dirt path next to the water.	the family is admiring the water	0
A foreign family is walking along a dirt path next to the water.	the children are driving a car on the freeway.	2
A foreign family is walking along a dirt path next to the water.	a family of foreigners swim together in the water.	2
A foreign family is walking along a dirt path next to the water.	they are trying not to fall into the water	1
A foreign family is walking along a dirt path next to the water.	a group of locals stand on a dirt trail next to a frozen dam.	2
A foreign family is walking along a dirt path next to the water.	a family of foreigners gathered by the water.	0
A foreign family is walking along a dirt path next to the water.	a family walks along a narrow path.	0
A foreign family is walking along a dirt path next to the water.	a family plays board games at a the table.	2
A foreign family is walking along a dirt path next to the water.	there is a family taking a walk outside.	0
A foreign family is walking along a dirt path next to the water.	a kid walks down a dirt path in a forest by a pond.	1
A foreign family is walking along a dirt path next to the water.	a group of foreigners walks by the lake.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	people are looking at me at a museum.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	there are people next to him.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	a man and a woman are happily married.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	people standing near.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	three people are looking at painting at the school fair.	2
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	nobody was standing.	2
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	the sculptures are a recent work.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	a man and a woman are standing.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	tall, standing	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	the latter a single sculpture.	2
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	the man and woman are standing by the swimming pool.	2
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	people are looking for scultures which were made by a famous artist.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	there are sculptures of people.	1
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	there were scultupres nearby.	0
A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	a man and a woman were sitting.	2
Group of young women in dresses strolling on the sidewalk.	all the women are well.	1
Group of young women in dresses strolling on the sidewalk.	2009 the young prizes won the first prize	2
Group of young women in dresses strolling on the sidewalk.	there are some groups one of them is young females dressed in dresses strolling for a ramp walk	0
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.	a man in photograph. a man skateboarding.	0
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.	a man is on his scooters alone	2
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.	tony hawks manager is photographing tony hawk skate.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man is taking the picture of a skateboarder which is being taken by aliens.	2
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	photographers capture a male skateboarder doing tricks inside an abandoned building.	2
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a woman is skateboarding with her friends.	2
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man is taking the form of a skateboarder who is performing a trick.	0
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man photographs. wedding.	2
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man is taking photos of his son doing tricks on the skateboard.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a man photographs tony hawk skateboarding.	1
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	a theme is taking video of skateboarding tricks.	0
